split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
test,stgcn_mamba,1583214_B,36575,chunked,0.5148823350318708,0.07582664489746094,0.6102879571523732,ok
test,stgcn_mamba,1583214_B,36575,streaming,0.17163107101805508,3.470062255859375,0.5357803942799305,ok
test,stgcn_mamba,1984213_B,3248,chunked,0.046873671002686024,0.051723480224609375,0.573177663304311,ok
test,stgcn_mamba,1984213_B,3248,streaming,0.01224440400255844,0.3491668701171875,0.5432890524668247,ok
test,stgcn_mamba,1205821_A,45180,chunked,0.6331455979961902,0.08181190490722656,0.5788251933755268,ok
test,stgcn_mamba,1205821_A,45180,streaming,0.19771363999461755,4.276528835296631,0.5231675741995744,ok
test,stgcn_mamba,1205821_B,45180,chunked,0.6335688250255771,0.08266305923461914,0.6948000889857192,ok
test,stgcn_mamba,1205821_B,45180,streaming,0.19748543697642162,4.276911735534668,0.4874300178536242,ok
test,stgcn_mamba,1418858_A,28432,chunked,0.3998812999925576,0.06989717483520508,0.6711724779740273,ok
test,stgcn_mamba,1418858_A,28432,streaming,0.1100746410083957,2.7100510597229004,0.49018528781990095,ok
test,stgcn_mamba,1418858_B,28432,chunked,0.39843520999420434,0.0705404281616211,0.6784005134014728,ok
test,stgcn_mamba,1418858_B,28432,streaming,0.10995862999698147,2.710881233215332,0.26648120558922,ok
test,stgcn_mamba,1419122_A,1687,chunked,0.02529622201109305,0.05063581466674805,0.3333333333333333,ok
test,stgcn_mamba,1419122_A,1687,streaming,0.006538055022247136,0.2006382942199707,0.3308450283666766,ok
test,stgcn_mamba,1419122_B,1687,chunked,0.025187707040458918,0.05033683776855469,0.6505218891289959,ok
test,stgcn_mamba,1419122_B,1687,streaming,0.005748712050262839,0.2006382942199707,0.6113257365047029,ok
test,stgcn_bimamba,1179868_A,24068,chunked,0.5545439220150001,0.07286596298217773,0.7030690678614953,ok
test,stgcn_bimamba,1179868_A,24068,streaming,0.1210293920012191,2.304755210876465,0.6196100086360231,ok
test,stgcn_bimamba,1179868_B,24068,chunked,0.5398463699966669,0.07311630249023438,0.6825196737560321,ok
test,stgcn_bimamba,1179868_B,24068,streaming,0.12128127599135041,2.304755210876465,0.6371971065822005,ok
test,stgcn_bimamba,1179224_A,58144,chunked,1.2955306480289437,0.09826278686523438,0.6794367852303208,ok
test,stgcn_bimamba,1179224_A,58144,streaming,0.2733804830349982,5.498509407043457,0.5926180964854435,ok
test,stgcn_bimamba,1179224_B,58144,chunked,1.303754884051159,0.09864330291748047,0.6179462957901287,ok
test,stgcn_bimamba,1179224_B,58144,streaming,0.2726565990014933,5.498509407043457,0.5487762169653141,ok
test,stgcn_bimamba,1180022_A,1510,chunked,0.0357803920051083,0.056783199310302734,0.6218927142117688,ok
test,stgcn_bimamba,1180022_A,1510,streaming,0.0063784230151213706,0.1904125213623047,0.6313863001756584,ok
test,stgcn_bimamba,1180022_B,1510,chunked,0.03556519199628383,0.05615043640136719,0.3333333333333333,ok
test,stgcn_bimamba,1180022_B,1510,streaming,0.00614713499089703,0.1904125213623047,0.3330018782454977,ok
test,stgcn_bimamba,1187154_A,8088,chunked,0.18293451197678223,0.06143617630004883,0.3333333333333333,ok
test,stgcn_bimamba,1187154_A,8088,streaming,0.03498537396080792,0.8067612648010254,0.3314891941733491,ok
test,stgcn_bimamba,1187154_B,8088,chunked,0.18240075901849195,0.06150960922241211,0.6457826676302408,ok
test,stgcn_bimamba,1187154_B,8088,streaming,0.03505754499929026,0.8067612648010254,0.6314965832865451,ok
test,stgcn_bimamba,1583214_A,36575,chunked,0.8175834940047935,0.08209514617919922,0.6828989313995598,ok
test,stgcn_bimamba,1583214_A,36575,streaming,0.20381811104016379,3.476588249206543,0.6460761089300904,ok
test,stgcn_bimamba,1583214_B,36575,chunked,0.8186246489640325,0.0824136734008789,0.6150849093385068,ok
test,stgcn_bimamba,1583214_B,36575,streaming,0.2039250440429896,3.476588249206543,0.5856708178746645,ok
test,stgcn_bimamba,1984213_B,3248,chunked,0.07439116097521037,0.05854463577270508,0.5530520868913207,ok
test,stgcn_bimamba,1984213_B,3248,streaming,0.01406741701066494,0.35569286346435547,0.5706239158333991,ok
test,stgcn_bimamba,1205821_A,45180,chunked,1.012429833994247,0.08839893341064453,0.599584974745611,ok
test,stgcn_bimamba,1205821_A,45180,streaming,0.2381019010208547,4.283054828643799,0.542296742781974,ok
test,stgcn_bimamba,1205821_B,45180,chunked,1.0128975200350396,0.08925008773803711,0.6958579190716238,ok
test,stgcn_bimamba,1205821_B,45180,streaming,0.2381407159846276,4.283437728881836,0.6622796796100953,ok
test,stgcn_bimamba,1418858_A,28432,chunked,0.6387946260510944,0.07648420333862305,0.6680616523575784,ok
test,stgcn_bimamba,1418858_A,28432,streaming,0.13491352699929848,2.7165770530700684,0.6224937381657091,ok
test,stgcn_bimamba,1418858_B,28432,chunked,0.6379365569446236,0.07712745666503906,0.687698825580909,ok
test,stgcn_bimamba,1418858_B,28432,streaming,0.1348790129995905,2.7174072265625,0.6443031931678105,ok
test,stgcn_bimamba,1419122_A,1687,chunked,0.03964544401969761,0.05646514892578125,0.3333333333333333,ok
test,stgcn_bimamba,1419122_A,1687,streaming,0.007029181986581534,0.20716428756713867,0.33273950910530486,ok
test,stgcn_bimamba,1419122_B,1687,chunked,0.03996066504623741,0.05616617202758789,0.6538765969451661,ok
test,stgcn_bimamba,1419122_B,1687,streaming,0.006941525032743812,0.20716428756713867,0.6156152004184569,ok
test,stgcn_bilstm,1179868_A,24068,chunked,0.8352175219915807,0.16232538223266602,0.7032391706831881,ok
test,stgcn_bilstm,1179868_A,24068,streaming,0.7477730920072645,2.3131604194641113,0.7187380202584231,ok
test,stgcn_bilstm,1179868_B,24068,chunked,0.8264589360333048,0.16266965866088867,0.6945836276869266,ok
test,stgcn_bilstm,1179868_B,24068,streaming,0.7474784270161763,2.3132543563842773,0.7097303851675433,ok
test,stgcn_bilstm,1179224_A,58144,chunked,1.9973545480170287,0.18687057495117188,0.6876936747267227,ok
test,stgcn_bilstm,1179224_A,58144,streaming,1.7755591929890215,5.5070085525512695,0.704219221290267,ok
